FeedbackID,CustomerID,Month,SatisfactionScore,Complaints
F00001,C0001,Mar,2,4
F00002,C0001,Nov,2,6
F00003,C0001,Jan,4,5
F00004,C0001,Dec,3,8
F00005,C0001,Sep,1,7
F00006,C0001,Jul,4,5
F00007,C0001,Jun,3,6
F00008,C0002,Dec,3,6
F00009,C0002,Feb,1,7
F00010,C0002,Aug,4,3
F00011,C0002,Jul,3,3
F00012,C0002,Sep,4,3
F00013,C0002,Nov,3,4
F00014,C0002,Jan,4,8
F00015,C0003,May,4,7
F00016,C0003,Jan,1,4
F00017,C0003,Mar,2,5
F00018,C0003,Jun,3,6
F00019,C0003,Apr,2,5
F00020,C0003,Oct,3,6
F00021,C0003,Sep,1,9
F00022,C0004,Jul,8,2
F00023,C0004,Aug,8,2
F00024,C0004,Oct,9,0
F00025,C0004,Mar,6,0
F00026,C0004,May,7,0
F00027,C0004,Feb,6,2
F00028,C0004,Jun,6,1
F00029,C0005,Jun,4,3
F00030,C0005,Apr,1,7
F00031,C0005,Nov,3,3
F00032,C0005,Feb,1,9
F00033,C0005,Mar,1,6
F00034,C0005,Dec,3,7
F00035,C0005,Oct,1,4
F00036,C0006,Feb,3,6
F00037,C0006,Aug,4,8
F00038,C0006,Jul,3,4
F00039,C0006,Mar,2,8
F00040,C0006,Apr,2,6
F00041,C0006,Dec,2,3
F00042,C0007,Jan,8,1
F00043,C0007,Nov,6,1
F00044,C0007,Feb,7,2
F00045,C0007,Apr,9,0
F00046,C0007,Dec,7,2
F00047,C0007,Jul,9,2
F00048,C0007,Oct,8,1
F00049,C0007,Aug,7,0
F00050,C0008,Jul,3,3
F00051,C0008,Nov,1,6
F00052,C0008,Dec,2,3
F00053,C0008,Feb,3,3
F00054,C0008,Sep,2,9
F00055,C0008,Aug,3,9
F00056,C0008,May,3,6
F00057,C0009,Feb,3,6
F00058,C0009,Mar,1,7
F00059,C0009,May,1,7
F00060,C0009,Dec,4,5
F00061,C0009,Apr,1,3
F00062,C0009,Jul,3,6
F00063,C0010,Apr,8,2
F00064,C0010,Jun,6,0
F00065,C0010,Jan,9,0
F00066,C0010,Mar,6,1
F00067,C0010,Dec,6,1
F00068,C0010,May,6,2
F00069,C0011,Mar,7,2
F00070,C0011,May,8,1
F00071,C0011,Jan,9,1
F00072,C0011,Feb,7,0
F00073,C0011,Oct,6,0
F00074,C0011,Apr,7,2
F00075,C0011,Nov,9,2
F00076,C0012,Sep,9,2
F00077,C0012,Aug,7,1
F00078,C0012,Jan,9,2
F00079,C0012,Jul,7,0
F00080,C0013,Feb,1,4
F00081,C0013,Oct,2,3
F00082,C0013,Jun,1,4
F00083,C0013,Nov,4,8
F00084,C0013,Apr,1,9
F00085,C0013,Mar,1,9
F00086,C0013,Aug,2,9
F00087,C0014,Feb,7,1
F00088,C0014,Jan,6,1
F00089,C0014,Mar,8,2
F00090,C0014,Aug,7,1
F00091,C0015,Oct,6,1
F00092,C0015,Jul,7,1
F00093,C0015,Aug,8,0
F00094,C0015,Feb,9,2
F00095,C0015,Sep,8,1
F00096,C0016,May,1,3
F00097,C0016,Nov,3,6
F00098,C0016,Apr,4,5
F00099,C0016,Sep,1,4
F00100,C0016,Dec,2,9
F00101,C0016,Mar,2,5
F00102,C0016,Jun,2,3
F00103,C0016,Aug,3,8
F00104,C0017,Jan,6,1
F00105,C0017,Apr,6,1
F00106,C0017,Aug,8,2
F00107,C0017,Oct,9,1
F00108,C0017,Feb,6,0
F00109,C0018,Oct,4,3
F00110,C0018,Jul,2,4
F00111,C0018,Aug,4,4
F00112,C0018,Jan,4,7
F00113,C0018,Nov,1,8
F00114,C0018,Apr,3,3
F00115,C0019,Jun,6,1
F00116,C0019,Jan,9,1
F00117,C0019,Oct,6,0
F00118,C0019,Dec,9,2
F00119,C0019,May,8,2
F00120,C0019,Jul,9,1
F00121,C0019,Aug,8,0
F00122,C0019,Feb,9,1
F00123,C0020,Mar,7,2
F00124,C0020,Jan,8,1
F00125,C0020,May,9,0
F00126,C0020,Oct,8,1
F00127,C0020,Feb,8,2
F00128,C0021,Nov,8,1
F00129,C0021,Oct,7,1
F00130,C0021,Jan,9,0
F00131,C0021,Feb,9,0
F00132,C0021,May,9,0
F00133,C0021,Aug,8,1
F00134,C0022,Apr,6,1
F00135,C0022,Jul,7,1
F00136,C0022,Jan,8,1
F00137,C0022,Feb,9,0
F00138,C0022,May,7,2
F00139,C0022,Aug,7,0
F00140,C0022,Nov,6,0
F00141,C0022,Mar,6,2
F00142,C0023,Mar,8,0
F00143,C0023,Nov,7,0
F00144,C0023,Sep,8,1
F00145,C0023,Aug,6,2
F00146,C0024,Sep,6,2
F00147,C0024,Jan,9,0
F00148,C0024,Oct,6,0
F00149,C0024,Apr,7,1
F00150,C0024,Jun,8,2
F00151,C0024,Nov,9,0
F00152,C0025,May,8,1
F00153,C0025,Mar,8,2
F00154,C0025,Jan,6,0
F00155,C0025,Jun,8,0
F00156,C0025,Sep,8,0
F00157,C0025,Nov,6,0
F00158,C0025,Apr,7,1
F00159,C0026,Dec,2,6
F00160,C0026,Sep,1,3
F00161,C0026,Oct,2,7
F00162,C0026,Jun,4,7
F00163,C0026,Apr,1,9
F00164,C0026,Aug,1,7
F00165,C0026,May,4,8
F00166,C0026,Jan,4,5
F00167,C0027,Apr,8,0
F00168,C0027,Oct,9,1
F00169,C0027,May,6,2
F00170,C0027,Dec,7,1
F00171,C0027,Jun,9,1
F00172,C0027,Feb,6,1
F00173,C0028,Sep,7,2
F00174,C0028,Feb,7,1
F00175,C0028,Jun,7,2
F00176,C0028,Aug,8,1
F00177,C0028,Apr,8,1
F00178,C0028,Dec,6,0
F00179,C0028,Jul,9,1
F00180,C0028,Nov,7,2
F00181,C0029,Nov,4,5
F00182,C0029,Apr,4,8
F00183,C0029,Mar,1,4
F00184,C0029,Aug,1,9
F00185,C0029,Jan,4,3
F00186,C0029,Feb,2,3
F00187,C0029,Sep,2,7
F00188,C0030,Jul,8,0
F00189,C0030,Dec,8,1
F00190,C0030,Jun,6,2
F00191,C0030,Mar,6,0
F00192,C0030,Nov,8,1
F00193,C0030,Oct,9,2
F00194,C0030,May,9,2
F00195,C0030,Feb,9,1
F00196,C0031,Dec,8,2
F00197,C0031,Mar,9,1
F00198,C0031,Nov,8,1
F00199,C0031,Sep,7,2
F00200,C0031,Feb,8,0
F00201,C0031,Aug,7,1
F00202,C0031,Jan,9,1
F00203,C0032,Oct,9,1
F00204,C0032,Sep,8,1
F00205,C0032,Nov,8,0
F00206,C0032,Dec,7,0
F00207,C0033,Jul,8,1
F00208,C0033,Sep,7,0
F00209,C0033,May,8,1
F00210,C0033,Jun,9,1
F00211,C0033,Feb,7,0
F00212,C0034,May,1,4
F00213,C0034,Oct,2,3
F00214,C0034,Feb,1,7
F00215,C0034,Apr,2,3
F00216,C0034,Dec,4,9
F00217,C0034,Nov,1,5
F00218,C0035,May,4,5
F00219,C0035,Oct,1,8
F00220,C0035,Jul,1,6
F00221,C0035,Aug,4,6
F00222,C0035,Mar,3,3
F00223,C0036,May,2,8
F00224,C0036,Nov,1,5
F00225,C0036,Feb,2,7
F00226,C0036,Jun,3,5
F00227,C0036,Oct,4,8
F00228,C0037,Nov,8,0
F00229,C0037,Feb,6,2
F00230,C0037,Jun,6,0
F00231,C0037,Jan,7,2
F00232,C0037,Jul,9,0
F00233,C0037,Sep,7,1
F00234,C0037,Oct,9,0
F00235,C0037,May,9,0
F00236,C0038,May,6,1
F00237,C0038,Mar,7,2
F00238,C0038,Apr,7,0
F00239,C0038,Feb,9,2
F00240,C0038,Oct,8,2
F00241,C0038,Jan,9,2
F00242,C0038,Aug,7,2
F00243,C0039,Aug,9,1
F00244,C0039,Sep,9,2
F00245,C0039,Mar,8,2
F00246,C0039,May,9,1
F00247,C0039,Apr,6,0
F00248,C0039,Oct,6,1
F00249,C0040,Aug,3,8
F00250,C0040,Jun,1,5
F00251,C0040,Apr,4,8
F00252,C0040,Jul,2,9
F00253,C0040,Feb,4,9
F00254,C0040,Dec,4,7
F00255,C0040,Oct,4,8
F00256,C0041,Jan,9,0
F00257,C0041,May,8,1
F00258,C0041,Nov,8,1
F00259,C0041,Sep,9,1
F00260,C0041,Apr,9,1
F00261,C0042,Jan,6,1
F00262,C0042,May,9,1
F00263,C0042,Aug,7,2
F00264,C0042,Apr,7,2
F00265,C0042,Jun,7,2
F00266,C0042,Oct,6,2
F00267,C0043,Jun,6,2
F00268,C0043,Mar,8,1
F00269,C0043,Oct,6,2
F00270,C0043,Sep,6,2
F00271,C0043,Jan,7,1
F00272,C0043,Dec,7,0
F00273,C0043,Aug,9,2
F00274,C0043,Apr,7,1
F00275,C0044,Jun,6,0
F00276,C0044,Dec,6,2
F00277,C0044,Jul,6,2
F00278,C0044,Apr,9,1
F00279,C0044,Sep,6,0
F00280,C0045,May,6,1
F00281,C0045,Jan,9,0
F00282,C0045,Apr,8,0
F00283,C0045,Oct,6,0
F00284,C0045,Nov,9,0
F00285,C0045,Mar,6,2
F00286,C0046,Oct,3,6
F00287,C0046,Mar,1,5
F00288,C0046,Feb,3,6
F00289,C0046,Jul,2,3
F00290,C0046,Apr,3,8
F00291,C0046,Sep,4,6
F00292,C0046,May,3,6
F00293,C0046,Nov,1,4
F00294,C0047,Sep,9,2
F00295,C0047,May,9,1
F00296,C0047,Aug,6,1
F00297,C0047,Nov,7,2
F00298,C0047,Apr,6,1
F00299,C0047,Oct,7,1
F00300,C0047,Jan,8,1
F00301,C0048,Feb,1,7
F00302,C0048,Nov,2,4
F00303,C0048,May,4,7
F00304,C0048,Jun,2,3
F00305,C0048,Mar,2,6
F00306,C0048,Jul,4,7
F00307,C0048,Sep,2,3
F00308,C0048,Jan,4,5
F00309,C0049,May,4,9
F00310,C0049,Jun,1,5
F00311,C0049,Mar,2,9
F00312,C0049,Jan,4,7
F00313,C0049,Nov,4,5
F00314,C0049,Aug,2,5
F00315,C0049,Dec,4,8
F00316,C0050,Sep,9,0
F00317,C0050,Dec,6,0
F00318,C0050,Feb,6,0
F00319,C0050,Oct,7,1
F00320,C0050,Jul,6,0
F00321,C0050,Jun,9,1
F00322,C0050,Jan,7,2
F00323,C0051,Aug,4,5
F00324,C0051,Mar,3,7
F00325,C0051,Sep,3,7
F00326,C0051,Jul,3,7
F00327,C0051,Oct,2,4
F00328,C0051,Jan,3,7
F00329,C0051,Nov,2,9
F00330,C0051,Dec,3,7
F00331,C0052,May,7,2
F00332,C0052,Aug,9,0
F00333,C0052,Nov,8,1
F00334,C0052,Apr,7,0
F00335,C0052,Jun,9,0
F00336,C0052,Oct,6,1
F00337,C0052,Jul,7,0
F00338,C0052,Feb,6,2
F00339,C0053,Jun,2,5
F00340,C0053,Feb,1,4
F00341,C0053,Jan,3,5
F00342,C0053,Aug,4,7
F00343,C0053,Mar,3,5
F00344,C0053,Oct,4,5
F00345,C0053,Sep,2,3
F00346,C0054,Mar,2,9
F00347,C0054,Feb,4,5
F00348,C0054,Apr,3,9
F00349,C0054,May,4,4
F00350,C0054,Dec,2,3
F00351,C0054,Aug,2,4
F00352,C0054,Sep,1,9
F00353,C0054,Jan,2,4
F00354,C0055,Aug,7,2
F00355,C0055,Jan,9,1
F00356,C0055,Jun,9,1
F00357,C0055,Feb,8,2
F00358,C0055,Nov,6,0
F00359,C0056,Jul,6,2
F00360,C0056,Dec,7,0
F00361,C0056,Nov,8,2
F00362,C0056,Aug,7,1
F00363,C0056,Jun,9,1
F00364,C0056,Mar,8,2
F00365,C0056,May,6,2
F00366,C0056,Oct,9,2
F00367,C0057,Mar,4,4
F00368,C0057,Jan,2,6
F00369,C0057,Jun,3,4
F00370,C0057,Aug,1,4
F00371,C0057,Oct,4,5
F00372,C0057,Sep,2,3
F00373,C0058,May,3,3
F00374,C0058,Jun,3,8
F00375,C0058,Feb,4,6
F00376,C0058,Nov,1,8
F00377,C0058,Dec,3,5
F00378,C0058,Aug,1,7
F00379,C0058,Jan,1,9
F00380,C0058,Jul,4,7
F00381,C0059,Aug,6,2
F00382,C0059,Mar,7,2
F00383,C0059,Dec,7,0
F00384,C0059,Sep,6,1
F00385,C0059,Feb,6,0
F00386,C0059,Jan,9,2
F00387,C0059,Nov,6,1
F00388,C0060,Sep,8,2
F00389,C0060,May,8,2
F00390,C0060,Apr,7,2
F00391,C0060,Jan,8,2
F00392,C0061,Nov,6,0
F00393,C0061,Jul,7,2
F00394,C0061,Dec,8,0
F00395,C0061,Jan,7,1
F00396,C0062,May,4,4
F00397,C0062,Oct,1,5
F00398,C0062,Apr,3,7
F00399,C0062,Sep,3,3
F00400,C0063,Aug,1,4
F00401,C0063,Oct,1,4
F00402,C0063,Feb,3,7
F00403,C0063,Dec,1,9
F00404,C0063,Nov,2,9
F00405,C0063,Jan,1,4
F00406,C0064,Aug,7,1
F00407,C0064,Feb,6,1
F00408,C0064,Apr,8,0
F00409,C0064,May,8,0
F00410,C0064,Oct,8,1
F00411,C0064,Jun,7,0
F00412,C0065,Apr,6,1
F00413,C0065,Mar,8,2
F00414,C0065,May,8,1
F00415,C0065,Oct,9,2
F00416,C0065,Aug,7,0
F00417,C0065,Nov,9,0
F00418,C0066,Oct,8,0
F00419,C0066,Apr,7,1
F00420,C0066,Jul,7,1
F00421,C0066,Jun,8,0
F00422,C0066,May,6,2
F00423,C0066,Feb,7,1
F00424,C0066,Mar,7,1
F00425,C0066,Aug,8,1
F00426,C0067,Jul,6,0
F00427,C0067,Nov,9,1
F00428,C0067,Oct,8,1
F00429,C0067,Jan,6,0
F00430,C0067,Jun,8,1
F00431,C0067,Aug,7,1
F00432,C0067,Sep,7,0
F00433,C0067,Mar,9,2
F00434,C0068,Oct,8,2
F00435,C0068,Dec,8,2
F00436,C0068,Jul,8,1
F00437,C0068,Nov,9,1
F00438,C0068,Aug,6,0
F00439,C0068,Sep,6,1
F00440,C0068,Feb,9,1
F00441,C0069,Jul,7,2
F00442,C0069,Oct,7,0
F00443,C0069,Jan,8,0
F00444,C0069,Mar,6,1
F00445,C0069,Sep,7,1
F00446,C0069,Aug,9,1
F00447,C0069,May,7,1
F00448,C0069,Jun,6,2
F00449,C0070,Apr,7,0
F00450,C0070,Mar,7,1
F00451,C0070,May,6,2
F00452,C0070,Oct,7,0
F00453,C0070,Feb,8,0
F00454,C0071,Mar,4,8
F00455,C0071,Jun,4,9
F00456,C0071,Feb,4,8
F00457,C0071,Aug,2,9
F00458,C0071,Jul,1,6
F00459,C0071,Nov,2,5
F00460,C0071,Oct,2,6
F00461,C0072,May,9,2
F00462,C0072,Nov,6,0
F00463,C0072,Jul,7,0
F00464,C0072,Oct,8,1
F00465,C0072,Feb,8,2
F00466,C0072,Mar,6,2
F00467,C0073,Jul,8,1
F00468,C0073,Feb,6,1
F00469,C0073,Apr,9,2
F00470,C0073,Mar,7,1
F00471,C0073,Aug,7,1
F00472,C0073,Nov,8,1
F00473,C0073,Jan,9,0
F00474,C0073,Dec,8,1
F00475,C0074,Mar,1,5
F00476,C0074,Jul,1,8
F00477,C0074,Sep,4,9
F00478,C0074,Feb,1,4
F00479,C0074,Aug,3,4
F00480,C0075,Sep,9,0
F00481,C0075,Jul,8,1
F00482,C0075,Aug,8,2
F00483,C0075,Jan,6,2
F00484,C0075,Oct,9,2
F00485,C0075,Jun,8,1
F00486,C0075,Nov,8,2
F00487,C0075,Apr,8,0
F00488,C0076,Jul,6,1
F00489,C0076,Sep,8,0
F00490,C0076,Dec,9,1
F00491,C0076,Feb,6,1
F00492,C0076,Mar,8,0
F00493,C0077,Aug,8,1
F00494,C0077,Dec,9,1
F00495,C0077,Jun,8,0
F00496,C0077,Jan,8,0
F00497,C0078,Jun,1,7
F00498,C0078,Jul,1,5
F00499,C0078,Jan,1,7
F00500,C0078,Aug,4,4
F00501,C0078,Dec,2,3
F00502,C0078,Mar,1,4
F00503,C0079,Nov,9,2
F00504,C0079,Aug,7,2
F00505,C0079,Jul,9,0
F00506,C0079,May,6,1
F00507,C0079,Jun,8,0
F00508,C0080,Oct,8,2
F00509,C0080,Nov,8,1
F00510,C0080,Feb,9,0
F00511,C0080,Jul,7,2
F00512,C0080,Dec,8,2
F00513,C0081,Jul,8,2
F00514,C0081,Feb,7,2
F00515,C0081,Apr,6,1
F00516,C0081,May,9,0
F00517,C0082,May,2,8
F00518,C0082,Mar,3,5
F00519,C0082,Dec,1,6
F00520,C0082,Sep,2,3
F00521,C0082,Jan,4,8
F00522,C0082,Oct,2,5
F00523,C0082,Apr,3,6
F00524,C0083,Nov,2,3
F00525,C0083,Jun,3,8
F00526,C0083,Feb,4,7
F00527,C0083,Apr,4,8
F00528,C0083,Sep,3,7
F00529,C0083,Jan,4,6
F00530,C0083,Dec,1,5
F00531,C0083,Mar,3,5
F00532,C0084,Aug,7,2
F00533,C0084,Mar,9,1
F00534,C0084,Dec,9,0
F00535,C0084,Oct,6,2
F00536,C0084,Apr,9,2
F00537,C0084,May,8,0
F00538,C0085,Dec,8,1
F00539,C0085,Sep,9,0
F00540,C0085,Jun,7,2
F00541,C0085,May,7,2
F00542,C0085,Nov,8,2
F00543,C0086,Jul,7,1
F00544,C0086,Jan,6,0
F00545,C0086,May,9,0
F00546,C0086,Sep,7,0
F00547,C0086,Aug,8,0
F00548,C0086,Feb,7,2
F00549,C0086,Apr,9,2
F00550,C0087,Jun,6,2
F00551,C0087,Apr,8,2
F00552,C0087,Jul,9,0
F00553,C0087,May,9,1
F00554,C0087,Dec,9,1
F00555,C0087,Oct,9,0
F00556,C0087,Mar,7,1
F00557,C0088,Jan,6,1
F00558,C0088,Sep,9,1
F00559,C0088,Jun,9,0
F00560,C0088,Aug,6,2
F00561,C0088,Mar,7,0
F00562,C0088,Oct,6,2
F00563,C0089,Dec,1,5
F00564,C0089,Jul,1,8
F00565,C0089,Jan,4,7
F00566,C0089,Jun,2,9
F00567,C0089,Apr,2,6
F00568,C0089,Feb,3,8
F00569,C0089,May,2,4
F00570,C0089,Aug,4,8
F00571,C0090,Jun,7,2
F00572,C0090,Mar,9,1
F00573,C0090,May,7,2
F00574,C0090,Feb,9,0
F00575,C0090,Jan,7,1
F00576,C0091,Nov,1,8
F00577,C0091,Feb,1,8
F00578,C0091,Oct,4,9
F00579,C0091,Jun,4,9
F00580,C0091,Mar,4,3
F00581,C0091,Dec,4,5
F00582,C0091,Apr,1,8
F00583,C0091,Jan,1,6
F00584,C0092,Dec,9,1
F00585,C0092,Jan,6,0
F00586,C0092,May,7,1
F00587,C0092,Jul,6,2
F00588,C0092,Nov,7,1
F00589,C0092,Mar,9,2
F00590,C0092,Apr,8,0
F00591,C0093,Aug,6,1
F00592,C0093,Apr,9,0
F00593,C0093,May,8,1
F00594,C0093,Feb,8,2
F00595,C0093,Jun,9,1
F00596,C0094,Dec,2,7
F00597,C0094,May,3,3
F00598,C0094,Oct,2,5
F00599,C0094,Nov,3,8
F00600,C0094,Jan,3,5
F00601,C0094,Jul,2,7
F00602,C0094,Feb,3,6
F00603,C0095,Nov,9,1
F00604,C0095,May,7,0
F00605,C0095,Mar,7,2
F00606,C0095,Oct,8,0
F00607,C0095,Sep,6,1
F00608,C0095,Dec,8,2
F00609,C0095,Aug,9,1
F00610,C0096,Mar,4,8
F00611,C0096,Jun,2,9
F00612,C0096,Dec,4,4
F00613,C0096,Sep,4,6
F00614,C0096,Nov,1,8
F00615,C0096,May,1,5
F00616,C0096,Oct,2,5
F00617,C0096,Apr,2,4
F00618,C0097,May,9,1
F00619,C0097,Oct,6,2
F00620,C0097,Feb,7,2
F00621,C0097,Apr,7,1
F00622,C0097,Jun,6,1
F00623,C0098,Jun,6,0
F00624,C0098,Sep,9,2
F00625,C0098,Feb,7,0
F00626,C0098,May,8,2
F00627,C0099,Dec,7,0
F00628,C0099,Nov,8,2
F00629,C0099,Apr,8,0
F00630,C0099,Oct,7,2
F00631,C0099,Aug,6,0
F00632,C0100,May,9,0
F00633,C0100,Jan,6,1
F00634,C0100,Apr,6,0
F00635,C0100,Oct,9,0
F00636,C0100,Sep,9,0
F00637,C0100,Dec,9,0
F00638,C0100,Jul,6,2
F00639,C0100,Aug,7,2
F00640,C0101,May,2,7
F00641,C0101,Oct,4,3
F00642,C0101,Jan,3,9
F00643,C0101,Jul,4,7
F00644,C0101,Feb,3,6
F00645,C0101,Jun,2,5
F00646,C0101,Apr,4,7
F00647,C0102,Nov,8,2
F00648,C0102,May,8,2
F00649,C0102,Dec,9,0
F00650,C0102,Sep,7,1
F00651,C0102,Apr,6,1
F00652,C0102,Mar,9,1
F00653,C0103,Mar,9,1
F00654,C0103,Feb,7,0
F00655,C0103,Jul,6,0
F00656,C0103,May,7,1
F00657,C0103,Nov,8,1
F00658,C0104,Aug,9,0
F00659,C0104,Feb,7,2
F00660,C0104,May,7,1
F00661,C0104,Apr,9,2
F00662,C0104,Mar,9,2
F00663,C0104,Dec,8,0
F00664,C0104,Nov,8,1
F00665,C0104,Jun,8,1
F00666,C0105,May,8,1
F00667,C0105,Jun,9,1
F00668,C0105,Nov,6,1
F00669,C0105,Oct,6,1
F00670,C0105,Aug,8,2
F00671,C0106,Aug,8,1
F00672,C0106,May,8,0
F00673,C0106,Jan,8,1
F00674,C0106,Apr,9,1
F00675,C0106,Sep,7,0
F00676,C0107,Sep,9,2
F00677,C0107,Aug,9,0
F00678,C0107,May,9,2
F00679,C0107,Feb,9,0
F00680,C0107,Dec,8,2
F00681,C0107,Nov,9,0
F00682,C0107,Jul,6,0
F00683,C0107,Mar,8,1
F00684,C0108,Jun,8,2
F00685,C0108,Aug,9,0
F00686,C0108,May,7,2
F00687,C0108,Feb,8,2
F00688,C0108,Nov,7,2
F00689,C0108,Sep,6,1
F00690,C0108,Dec,7,1
F00691,C0108,Jan,8,2
F00692,C0109,May,7,0
F00693,C0109,Jan,8,1
F00694,C0109,Mar,7,1
F00695,C0109,Feb,8,1
F00696,C0109,Jun,7,2
F00697,C0109,Jul,8,1
F00698,C0109,Oct,6,0
F00699,C0109,Apr,6,2
F00700,C0110,Jul,6,2
