UsageID,CustomerID,Month,CallMinutes,DataUsage,MessagesSent
U00001,C0001,Jan,289,93,14
U00002,C0001,Feb,86,91,4
U00003,C0001,Mar,181,97,14
U00004,C0001,Apr,140,89,5
U00005,C0001,May,175,79,3
U00006,C0001,Jun,161,71,13
U00007,C0001,Jul,282,74,7
U00008,C0001,Aug,89,83,18
U00009,C0001,Sep,258,73,18
U00010,C0001,Oct,194,65,5
U00011,C0001,Nov,84,81,9
U00012,C0001,Dec,293,74,20
U00013,C0002,Jan,266,98,16
U00014,C0002,Feb,108,83,10
U00015,C0002,Mar,157,72,4
U00016,C0002,Apr,141,91,17
U00017,C0002,May,96,72,18
U00018,C0002,Jun,232,99,3
U00019,C0002,Jul,241,97,10
U00020,C0002,Aug,263,74,12
U00021,C0002,Sep,189,65,14
U00022,C0002,Oct,141,91,8
U00023,C0002,Nov,250,70,19
U00024,C0002,Dec,172,69,19
U00025,C0003,Jan,219,97,19
U00026,C0003,Feb,221,66,15
U00027,C0003,Mar,200,67,15
U00028,C0003,Apr,175,81,3
U00029,C0003,May,171,69,14
U00030,C0003,Jun,141,71,13
U00031,C0003,Jul,114,67,14
U00032,C0003,Aug,219,86,8
U00033,C0003,Sep,292,94,18
U00034,C0003,Oct,241,76,7
U00035,C0003,Nov,96,94,4
U00036,C0003,Dec,155,77,4
U00037,C0004,Jan,604,20,55
U00038,C0004,Feb,717,50,60
U00039,C0004,Mar,884,34,37
U00040,C0004,Apr,595,36,57
U00041,C0004,May,448,39,52
U00042,C0004,Jun,527,41,62
U00043,C0004,Jul,809,46,59
U00044,C0004,Aug,747,29,66
U00045,C0004,Sep,909,41,86
U00046,C0004,Oct,931,35,86
U00047,C0004,Nov,484,45,40
U00048,C0004,Dec,840,29,69
U00049,C0005,Jan,155,85,6
U00050,C0005,Feb,100,85,12
U00051,C0005,Mar,158,93,16
U00052,C0005,Apr,122,93,14
U00053,C0005,May,194,67,14
U00054,C0005,Jun,237,92,11
U00055,C0005,Jul,243,68,5
U00056,C0005,Aug,251,90,14
U00057,C0005,Sep,211,75,3
U00058,C0005,Oct,116,93,4
U00059,C0005,Nov,112,69,10
U00060,C0005,Dec,279,88,14
U00061,C0006,Jan,178,67,7
U00062,C0006,Feb,253,93,14
U00063,C0006,Mar,175,93,5
U00064,C0006,Apr,226,73,19
U00065,C0006,May,173,90,13
U00066,C0006,Jun,246,82,10
U00067,C0006,Jul,109,66,8
U00068,C0006,Aug,207,98,15
U00069,C0006,Sep,223,72,11
U00070,C0006,Oct,278,81,17
U00071,C0006,Nov,134,83,18
U00072,C0006,Dec,131,72,7
U00073,C0007,Jan,475,46,46
U00074,C0007,Feb,855,23,86
U00075,C0007,Mar,727,40,80
U00076,C0007,Apr,466,53,69
U00077,C0007,May,697,37,89
U00078,C0007,Jun,561,29,85
U00079,C0007,Jul,770,50,49
U00080,C0007,Aug,524,30,85
U00081,C0007,Sep,542,33,85
U00082,C0007,Oct,905,19,58
U00083,C0007,Nov,777,47,86
U00084,C0007,Dec,532,23,39
U00085,C0008,Jan,159,90,18
U00086,C0008,Feb,214,91,16
U00087,C0008,Mar,290,69,7
U00088,C0008,Apr,161,69,17
U00089,C0008,May,199,98,14
U00090,C0008,Jun,112,100,8
U00091,C0008,Jul,276,73,16
U00092,C0008,Aug,208,68,6
U00093,C0008,Sep,212,74,12
U00094,C0008,Oct,122,75,13
U00095,C0008,Nov,261,79,14
U00096,C0008,Dec,212,83,5
U00097,C0009,Jan,144,77,20
U00098,C0009,Feb,150,73,12
U00099,C0009,Mar,237,99,5
U00100,C0009,Apr,208,75,7
U00101,C0009,May,123,86,4
U00102,C0009,Jun,291,66,5
U00103,C0009,Jul,91,81,9
U00104,C0009,Aug,276,91,3
U00105,C0009,Sep,207,99,12
U00106,C0009,Oct,244,84,18
U00107,C0009,Nov,142,90,12
U00108,C0009,Dec,196,69,4
U00109,C0010,Jan,561,46,61
U00110,C0010,Feb,895,47,48
U00111,C0010,Mar,748,27,55
U00112,C0010,Apr,726,40,60
U00113,C0010,May,533,41,67
U00114,C0010,Jun,508,38,50
U00115,C0010,Jul,877,25,52
